,poultry,maize,wheat,grains,beef,cheese,pig,sugar,soya,butter,oils,rice,sheep
SDN_1996_1999,0.00079539039925,0.0019492698815,0.0350049365003,0.0940603987332,0.00771683894575,0.00383099258675,2.7785e-09,2.7785e-09,2.7785e-09,0.00049054755425,0.0029993658435,0.0009170182,0.007572455222
THA_1996_1999,12.2700014687,1.12803265856,9.42351947431,0.633447962965,3.13445256701,0.0315241805222,6.25770877001,1.47777965598e-06,2.67489683431,0.171723858574,8.06584713918,117.443957995,0.0144494009202
TUR_1996_1999,7.22926797996,13.4279301751,205.794037768,4.1857071911,4.10201702792,2.17456142361,0.031744721424,1.4789727079e-06,0.275681268231,2.06675385258,19.8486137033,6.99968782501,5.35052641539
TZA_1996_1999,1.02503543004,68.4534847392,7.2626097882,23.7039359092,4.3831728335,0.0617195480019,0.268449121195,2.82072309661e-06,0.0270175746773,0.160148683704,5.16920432288,15.8160437199,1.04753656442
UKR_1996_1999,4.83143901629,0.501455744513,126.616366047,28.1327996832,10.2027482227,1.20500965307,10.9556257952,1.80524070031e-06,0.241833269959,2.25873864476,6.13381715999,2.14831331731,0.414088844443
URY_1996_1999,12.7976152258,27.7394400677,101.907498763,1.14255605212,50.1503025836,2.81462631745,7.00905420675,2.74393251253e-05,1.71698749026,0.979881081821,7.13429960083,10.3034862455,11.5448814828
USA_1996_1999,40.579484267,16.7138591713,90.2778943886,3.73183223362,30.7199745791,12.6891437391,22.8180286842,30.7398889,0.0,1.98074273516,36.8114636352,12.6758255934,0.503162505672
VNM_1996_1999,3.12418366738,4.75018604988,5.80432521434,8.08642380497e-06,1.52956069423,0.010823409484,11.3674632407,1.15520341355e-06,0.513898069625,0.0651423456977,3.20705278148,164.202939327,0.0564766107014
ZAF_1996_1999,15.3420301657,96.6880518833,54.8930686168,4.78494834195,9.56202539169,0.923262476291,2.35538472643,2.08216471121e-06,0.342380758485,0.300727980579,15.6165664624,10.7347670685,3.44837566281
ZMB_1996_1999,2.75137478759,98.7647750914,11.1399811573,7.96098448168,2.96789234722,0.0833946308698,0.807326612521,9.09705783865e-06,0.901695770844,0.0308207730714,2.47788525949,1.29466718524,0.310111519052
ARG_1999_2002,19.2276705669,29.5215808565,114.775990718,13.3745542608,43.6571104831,10.3363717638,5.3136609909,37.334569709,0.957620782579,1.07285825725,14.225460856,5.87560058955,1.36945613129
AUS_1999_2002,29.3415018252,3.67019348699,82.5199615436,13.4199259003,25.9623636013,11.1775069536,15.3616323789,50.8123821146,0.0,3.52256280357,19.0486520708,14.5765483161,15.0028557943
BGD_1999_2002,0.748979405414,0.601484699061,21.7259107008,0.256238212973,0.937773681329,0.00890626761262,5.30014702883e-07,2.35286638865,6.79506036887e-07,0.142759587676,6.19892015419,150.831186634,0.888162220169
BRA_1999_2002,26.7805326156,20.6122357034,51.0332535873,2.06151242062,24.0861337998,2.61937753542,9.85762302043,53.2524917491,0.0,0.449615011243,18.0171489087,45.1122009392,0.380028688685
CAN_1999_2002,31.4891600673,51.7011587017,94.0450374044,16.027600134,22.9466674589,10.847018153,22.6672747276,39.1338618863,18.3412612925,2.82131473363,31.2833806566,7.9200948511,0.851316158162
